故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
数据补推和货架释放,,,释放GBW0108货架,释放GBW0108货架,客户要求,操作数据库及API接口网页释放
软件,RCS,,飞箱运行中提示进入Z轴动态平衡,101068飞箱运行中，RCS弹出提示，但是飞箱正常在继续工作,已经和研发刘翔确认，报错提示的匹配关键词过于宽泛，（目前匹配到Z轴就提示），他已经修改精确匹配，需要现场更新RCS,
软件,RCS,,机器人急停,231005在接驳位下转向时，230236机器人同时也去了这个接驳位，导致两个机器人撞车触发急停,,临时已经恢复急停，研发在调查为什么两个车同时去了一个接驳位
硬件,飞箱,其它,飞箱101088故障,"XZ移动错误:不在预备位置或载箱位置Y=576.200012,R=311.299988",电机没有执行到位,远程操控飞箱的操作界面恢复故障
硬件,飞箱,其它,飞箱101088故障,"XZ移动错误:不在预备位置或载箱位置Y=576.200012,R=311.299988",电机没有执行到位,远程操控飞箱的操作界面恢复故障
硬件,飞箱,其它,飞箱101063故障,"XZ移动错误:不在预备位置或载箱位置Y=573.200012,R=311.200012",电机没有执行到位,远程操控飞箱的操作界面恢复故障
硬件,飞箱,其它,飞箱101063故障,"XZ移动错误:不在预备位置或载箱位置Y=573.200012,R=311.200012",电机没有执行到位,远程操控飞箱的操作界面恢复故障
飞箱异常,TOF异常,,飞箱101064故障,飞箱101064 tof8等待测量结果失败:25,TOF测量失败,远程操控飞箱的操作界面恢复故障
飞箱异常,TOF异常,,飞箱101059故障,飞箱101059 tof8等待测量结果失败:25,TOF测量失败,远程操控飞箱的操作界面恢复故障
硬件,飞箱,其它,飞箱101054停止不动,飞箱101054停止不动,飞箱停止不动，查看飞箱电压比较低，没有在充电,调整飞箱位置后恢复充电，充至27V飞箱继续工作，继续观察如果多次出现建议对充电模块喷润滑油
软件,RCS,,101024拉箱失败,"调整位置的次数超过10次,调整拉箱位置失败，连带出老界面报错 11:53:52.463 料箱:2200595所在箱位:(A009)11-057提示错误。",后续做出问题解析,终止启动，老界面报错不用管直接点掉，后续会更新
硬件,扫码台相机,,右侧相机无法识别,右侧相机192.168.3.121无法使用，ping也不通,未知,重启相机电源后恢复正常
客户操作,,,小车全部偏离魔毯中心,小车全部偏离魔毯中心无法启动,日志看开机前位置都不在魔毯中心了,词条图控制恢复
软件,RCS,,101052飞箱推箱不成功,拉箱<-货架飞箱:101052 箱位:(A004)05-029No running position:9 日标:2.0实际:334.7,,手动将箱子摆正，尝试拉箱并推箱
软件,RCS,,飞箱:101021推箱失败,请解决:推箱->地面车飞箱:101021地面车:219205补推3次后，地面车箱传感器检测不到,,kiss地面车219205任务
软件,RCS,,101023拉箱失败,"飞箱-拉箱失败
","101023 箱位:(A010)13-041调整位置的次数超过10次,调整拉箱位置失败
","操作拉箱机将箱子调正后，终止启动任务恢复。
"
软件,RCS,,101033拉箱失败,"飞箱-拉箱失败
","101033 箱位:(A008)12-040调整位置的次数超过10次,调整拉箱位置失败
","终止并启动任务后恢复
"
软件,RCS,,101062飞箱故障,"飞箱-故障
","飞箱定位失效
","终止启动恢复
"
软件,RCS,,飞箱-拉箱失败,"拉箱校正十次拉箱失败
","
","终止启动恢复
"
飞箱异常,TOF异常,,飞箱101078报错,飞箱101078 tof8等待测量结果失败:25,TOF8测量失败,已读取全部日志，远程操控飞箱的操作界面恢复故障
波次问题（移除、迁移、关闭）,手动结束波次,,客户要求结束波次,WCS显示小车上还有2件包裹，客户说已经拿走了，要求手动结束波次,客户要求,WCS波次明细中鼠标右键完成对应的投递记录，即可完成该任务
硬件,分拣机,1号电机,2号电机离线,10号机的2号电机离线,"1、10号机的2号电机离线；
2、5号机LCD屏幕显示异常；
3、添加小车209062。","1、10号机与12机交换2号电机后，10号机恢复正常，12号机的2号电机离线，判断为2号电机故障；
2、5号机重启后恢复正常；
3、添加小车209062后，单车校轮径后可用。"
客户操作,,,堵车,小车堵车,格口太集中了全往一根手指去了,词条图控制小车主动驱离，提醒客户操作规范
硬件,分拣机,LCD控制器,分拣机故障,客户描述：输出板是亮的，上面的网线不亮，无法连接网络，手动输入网络 ip 更改没有反应,LCD屏显示错误,重新插拔LCD的连接线后恢复
硬件,分拣机,其它,门急停触发器没有效果,PNT仓第四套4号分拣机，分拣机门触发器无法生效，插拔或者换一个接口也没有效果，触发器无论新旧都无法使用,分拣机设置里没有勾选上guard door ，勾选上恢复正常,没有更换电梯板，把选项勾上后恢复正常
参数配置,,,添加白名单,新增白名单：ONE.*US表达式的条码,,"使用批量更新工具更新所有扫码台白名单
操作：，download目录存存放更新文件，并在在2.3电脑上开启libiaoserviceFormapp程序，即可更新完成"
硬件,飞箱,TOF25,101059飞箱拉箱失败,101059飞箱拉箱失败；报警tof8等待测量结果失败:25,怀疑tof需要重启,手动推箱进去后，终止启动
硬件,扫码台相机,,相机灯光闪烁,相机灯光闪烁，断电重启后会恢复一下,电源适配器的问题，电压不稳定,更换电源适配器后恢复
硬件,分拣机,3号电机,分拣机卡住,分拣机卡住不动,未知,断电手动恢复
软件,扫码台软件,,相机断连,扫码台相机显示断连,未知，扫码台没有连到相机,重启扫码台后恢复
软件,RCS,,RCS上无飞箱，且飞箱不报警,老车服上不显示飞箱，飞箱状态栏里能看见飞箱电压等参数，飞箱上亮黄灯。,更新：升级文件配置与现场文件配置有差异导致飞箱升起后无法定位，导致后面一系列问题。,断电重启，重新定位2次之后恢复。
客户操作,,,现场频繁急停,现场频繁急停,机器人在线数和实际机器人平台数不对,让现场检查实际有多少台机器人，最后发现现场员工移除之后没有搬下平台，所以就造成机器人相撞
其它,修改货架与3D共存,,修改货架与3D共存,修改货架与3D共存,修改货架与3D共存，现场有一个是3D货架，两个是普通货架,需要在RCS配置文件和WCS配置文件里修改
其它,电脑网络无法连接,,电脑网络无法连接,电脑网络无法连接，第一台WCS电脑和RCS电脑无法连接,是现场员工把外网断开了，连着外网的网口坏了，换了一个新的网口,现在电脑断电重启过，电脑IP变成自动获取了，所以内网一直没有连上，改回手动恢复
数据补推和货架释放,,,货架释放,播种墙BZQCT0071和BZQCT0026,播种墙BZQCT0071和BZQCT0026,播种墙BZQCT0071和BZQCT0026，在数据库里操作
波次问题（移除、迁移、关闭）,波次迁移,,波次迁移,波次迁移,,波次迁移，数据库里操作
其它,演示,,项目演示,在平台上使用小车排序成DSL字样,,在地图上使用停车区使用DSL字样，关闭发货口和充电撞让小车前往停车区
硬件,分拣机,其它,电机离线,LCD屏上显示电机离线(00)，从wcs上显示分拣机暂停中,,使用工具连接分拣点击绿色按钮恢复正常
数据补推和货架释放,,,释放货架,释放GBW0033货架,,操作数据库释放货架
软件,RCS,,车服里显示发货口没有机器人,车服里显示发货口没有机器人,车服里显示发货口没有机器人，发货口关闭了，然后驱车，同时扫码的任务也请求过来了。就造成了发货口没有机器人的情况了，分拣过程中，如果关闭发货口，则会造成发车失败的情况。导致只有请求目的地，而没有落件,车服里显示发货口没有机器人，发货口关闭了，然后驱车，同时扫码的任务也请求过来了。就造成了发货口没有机器人的情况了，分拣过程中，如果关闭发货口，则会造成发车失败的情况。导致只有请求目的地，而没有落件
波次问题（移除、迁移、关闭）,波次迁移,,迁移波次,"将波次ID2503200015 和ID2503190065 迁移到第二套平台
",,操作数据迁移波次
硬件,分拣机,其它,分拣机离线,分拣机离线无法识别网口，网口灯不亮，插拔没效果,怀疑黄色的网线损坏无法使用,临时解决将灰色网线插到电梯板中恢复正常分拣，建议客户分拣结束更换黄色的网线
硬件,扫码台相机,,相机异常关机,根据客户描述，相机每48小时会关机，需要重新启动,只有一台相机异常，让客户排除硬件问题，经客户检查，电控箱中两个16V 3300μF电容鼓包，电容鼓包，导致电压不稳定，最终致使相机异常关机,让客户找同规格的电容替换，并提醒客户更换时注意正负极要匹配，客户自行更换了板子，目前运行正常，持续观察，后续找到同规格电容后，再进行电容更换
客户操作,,,堵车,排队区的机器人堵住了卸货口，所以导致了堵车,,手动搬车
硬件,机器人,底盘,托盘歪掉偏离,托盘歪掉偏离，磨损严重,3号电机固定位置偏移,"经过拆机检查，位置偏移，更换底盘，等待现场补发备件更换
跟踪结果：已经更换"
软件,RCS,,包裹称重单位问题,RCS中包裹称重结果异常，只能以kg计算，客户要求接口以g为单位返回给其系统。,RCS版本问题，当前版本为4.01.33。,更新RCS至标准版4.03.17，修改RCS配置文件中WeightUnit为g即可。
波次问题（移除、迁移、关闭）,迁移波次,,迁移波次,将波次ID2503190005从B4-3迁移至B4-1,现场人员Maria Carmen Noyola要求,操作数据库修改plat_id为第一套
波次问题（移除、迁移、关闭）,波次迁移,,迁移波次,把ID2503180062的波浪移到第一套,,操作数据库迁移波次
软件,RCS,,北区堵车,北区部分堵车，影响分拣速度,未知,手动赶走几个堵住关键节点的小车后恢复通畅
客户操作,,,小车急停,小车一直在一个地方急停,客户把车删了，没有搬下来,"提醒客户规范操作
"
硬件,机器人,霍尔板,小车急停打滑,小车报行走打滑,霍尔板有问题,更换后使用正常
硬件,分拣机,电梯板,分拣机无法正常运行,分拣机lcd屏黑屏，电梯板灯没有闪烁，交换板灯正常亮，拔掉电梯板上所有连接线，灯依然没有闪烁,电梯板坏了,更换电梯板后修改IP地址恢复正常
硬件,灯条按钮盒,,按钮盒离线,按按钮没有反应，左边一组出现离线,按钮线破皮了,插线连接好后，更换连接线后恢复正常
飞箱异常,其它,,调整拉箱位置失败,调整拉箱位置失败,调整拉箱位置失败，箱子没有调整好，手动调整,调整拉箱位置失败，箱子没有调整好，手动调整
参数配置,,,更换现场RCS地图,更换现场RCS地图,更换现场RCS地图,更换现场RCS地图
其它,现场全场电量低,,现场全场电量低需要开启紧急充电模式,现场全场电量低需要开启紧急充电模式,因全场电量低,现场全场电量低需要开启紧急充电模式
硬件,其它,,电脑蓝屏,电脑蓝屏,电脑蓝屏，RCS电脑蓝屏，下载日志给厂家看，说是驱动更新导致的重启恢复,电脑蓝屏，RCS电脑蓝屏，下载日志给厂家看，说是驱动更新导致的重启恢复
波次问题（移除、迁移、关闭）,迁移波次,,迁移波次,迁移波次,迁移波次,迁移波次
硬件,机器人,翻板,翻板缓冲垫断裂,翻板缓冲垫断裂,,经机械人员朱森确认，垫块加高上面再贴一层橡胶缓冲
数据补推和货架释放,,,释放播种墙,释放播种墙BZQCT0104、BZQCT0044。,未知,通过巴西希音A仓运维跳板，按照WES释放货架教程释放对应货架。
